bbl,longitude,latitude,ntaname,ntacode,county_fips
3051020063,-73.9590268,40.6476846,Flatbush,BK42,047
3024310036,-73.9620642,40.7118118,North Side-South Side,BK73,047
1005830024,-74.0051416,40.7306442,West Village,MN23,061
1014990010,-73.9587672,40.7819692,Upper East Side-Carnegie Hill,MN40,061
1005670007,-73.9952804,40.7331721,West Village,MN23,061
1019030038,-73.9489648,40.8039972,Central Harlem South,MN11,061
2031270026,-73.8823689,40.8427396,East Tremont,BX17,005
1017560056,-73.937852,40.8100439,Central Harlem North-Polo Grounds,MN03,061
1022430332,-73.9164814,40.8701752,Marble Hill-Inwood,MN01,061
1008660067,-73.9823549,40.7497547,Murray Hill-Kips Bay,MN20,061
1013930043,-73.9614754,40.7757341,Upper East Side-Carnegie Hill,MN40,061
4097670005,-73.79989,40.7067666,Jamaica,QN61,081
1007610009,-73.9939614,40.7551301,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
1018610008,-73.9647913,40.8003554,Morningside Heights,MN09,061
1001430001,-74.0093576,40.7174911,SoHo-TriBeCa-Civic Center-Little Italy,MN24,061
3052200064,-73.9581328,40.6366722,Flatbush,BK42,047
3068880006,-73.9962804,40.5956835,Bensonhurst East,BK29,047
4014430051,-73.8845242,40.7525033,Jackson Heights,QN28,081
1008860073,-73.9816562,40.7444847,Murray Hill-Kips Bay,MN20,061
1021680063,-73.9308369,40.8549983,Washington Heights North,MN35,061
3052570035,-73.9743677,40.6564092,Windsor Terrace,BK40,047
3067430079,-73.9605186,40.6174019,Midwood,BK43,047
1010460013,-73.9852746,40.7662784,Clinton,MN15,061
1002670037,-73.9814374,40.7137186,Lower East Side,MN28,061
3050480094,-73.9593425,40.65593,Prospect Lefferts Gardens-Wingate,BK60,047
3056230012,-73.9900413,40.6362265,Borough Park,BK88,047
3055600020,-73.9927202,40.6193407,Bensonhurst West,BK28,047
1015300040,-73.95378,40.7775922,Yorkville,MN32,061
1014210001,-73.9628492,40.7661197,Lenox Hill-Roosevelt Island,MN31,061
3036790001,-73.9037349,40.6736886,Brownsville,BK81,047
1016040001,-73.9543317,40.789252,East Harlem South,MN33,061
2028440043,-73.9153501,40.8414181,West Concourse,BX63,005
4163400050,-73.8911301,40.5664767,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,081
3018510063,-73.9454102,40.6810472,Bedford,BK75,047
1005900011,-74.0030381,40.731712,West Village,MN23,061
3053920042,-73.969738,40.6369613,Kensington-Ocean Parkway,BK41,047
3011000027,-73.9822876,40.663602,Park Slope-Gowanus,BK37,047
1018890064,-73.971156,40.7991357,Upper West Side,MN12,061
4047540001,-73.8011638,40.7851536,Ft. Totten-Bay Terrace-Clearview,QN47,081
1004010019,-73.9830578,40.7248462,East Village,MN22,061
1003310120,-73.9805533,40.7147725,Lower East Side,MN28,061
1018600005,-73.965514,40.7997188,Upper West Side,MN12,061
1018920025,-73.9690379,40.8024728,Morningside Heights,MN09,061
1009100046,-73.9789393,40.7425217,Murray Hill-Kips Bay,MN20,061
1008180019,-73.9943743,40.7383871,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
1020020089,-73.9556106,40.8209623,Manhattanville,MN06,061
3021140023,-73.9746988,40.6861078,Fort Greene,BK68,047
1016310041,-73.946321,40.790308,East Harlem South,MN33,061
3057910007,-74.0189385,40.6399638,Sunset Park West,BK32,047
1005580044,-73.9889913,40.7325679,East Village,MN22,061
3032410011,-73.9287352,40.6944326,Bushwick South,BK78,047
2028740106,-73.9203652,40.845525,University Heights-Morris Heights,BX36,005
2026630004,-73.9014745,40.8298958,Morrisania-Melrose,BX35,005
1004780013,-73.9946355,40.7207603,SoHo-TriBeCa-Civic Center-Little Italy,MN24,061
1014280045,-73.9594204,40.770716,Lenox Hill-Roosevelt Island,MN31,061
3008290020,-74.0190013,40.6454094,Sunset Park West,BK32,047
3008660071,-74.0108883,40.6366052,Sunset Park East,BK34,047
1013840026,-73.966136,40.7697932,Upper East Side-Carnegie Hill,MN40,061
1008180058,-73.9932593,40.7381181,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,061
3022120021,-73.9564675,40.7040805,Williamsburg,BK72,047
1019030062,-73.950857,40.8048022,Central Harlem South,MN11,061
3011800027,-73.9615858,40.6718972,Prospect Heights,BK64,047
1013720073,-73.9594749,40.7583043,Turtle Bay-East Midtown,MN19,061
1011180022,-73.979753,40.7723984,Lincoln Square,MN14,061
1003760016,-73.9780614,40.7235059,Lower East Side,MN28,061
4158900097,-73.7836818,40.5930975,Hammels-Arverne-Edgemere,QN12,081
1011490043,-73.9770963,40.7814857,Upper West Side,MN12,061
1008940006,-73.9787242,40.749518,Murray Hill-Kips Bay,MN20,061
2032260053,-73.9077572,40.8645913,Kingsbridge Heights,BX30,005
1004110011,-73.9884124,40.7211661,Chinatown,MN27,061
1009040039,-73.9816794,40.738836,Gramercy,MN21,061
4161860064,-73.8346258,40.5794224,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,081
1014920069,-73.9625501,40.7780016,Upper East Side-Carnegie Hill,MN40,061
1001610001,-73.9998774,40.7136515,Chinatown,MN27,061
1008830046,-73.9814945,40.7417124,Gramercy,MN21,061
2030970053,-73.885995,40.8484467,East Tremont,BX17,005
3030140001,-73.9286909,40.7049497,Bushwick North,BK77,047
3035650048,-73.9188327,40.6619059,Brownsville,BK81,047
1016280024,-73.9484279,40.7884096,East Harlem South,MN33,061
3016660045,-73.9295255,40.6836983,Stuyvesant Heights,BK35,047
1002760025,-73.9945713,40.7119661,Chinatown,MN27,061
1014320027,-73.9560038,40.7726333,Lenox Hill-Roosevelt Island,MN31,061
3012610058,-73.9526466,40.6704446,Crown Heights North,BK61,047
3074670013,-73.9468369,40.5874588,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,047
3019610032,-73.9670474,40.6864105,Clinton Hill,BK69,047
3010730041,-73.9725491,40.6703989,Park Slope-Gowanus,BK37,047
